Trt*,row,col,Exp*,long,lat,sharepercent,Species.,SowingDate,HarvestDate,Tsum,I50A,I50B,HI,Weather,CO2,SoilName,AWC,RCN,DDC,RZD,dua,Water,IrrigationTrt,MaxIntercept,InitialBio,InitialTT ,InitialFsolar ,Yield_obs,Label
1,114,136,81496,-112.25,33.25,100,potato,21,122,2650,680,400,0.7,Marico,350,25,0.06,65,0.75,1800,120,no,0,0.95,1,0,0.001,10.86,Gridcell
2,108,120,77160,-120.25,36.25,98.74,potato,64,148,2950,680,400,0.5,Fresno,350,3,0.17,85,0.2,600,120,no,0,0.95,1,0,0.001,6.22,Gridcell
3,115,129,82209,-115.75,32.75,100,potato,9,122,2600,680,400,0.7,Imperi,350,16,0.08,75,0.5,1800,120,no,0,0.95,1,0,0.001,11.07,Gridcell
4,107,117,76437,-121.75,36.75,100,potato,51,127,1800,680,400,0.9,Monter,350,15,0.13,75,0.5,600,120,no,0,0.95,1,0,0.001,10.18,Gridcell
5,103,117,73557,-121.75,38.75,100,potato,67,149,2700,680,400,0.5,Yolo,350,14,0.1,75,0.5,1200,120,no,0,0.95,1,0,0.001,6.35,Gridcell
6,105,148,75028,-106.25,37.75,100,potato,148,260,2200,680,400,0.9,Rio Gra,350,14,0.1,75,0.5,1200,131,no,0,0.95,1,0,0.001,12.13,Gridcell
7,127,198,90918,-81.25,26.75,100,potato,2,111,2300,680,400,0.7,Hendry,350,11,0.1,75,0.5,1200,110,no,0,0.95,1,0,0.001,10.02,Gridcell
8,125,197,89477,-81.75,27.75,100,potato,3,111,2200,680,400,0.7,Polk,350,23,0.07,65,0.75,1200,110,no,0,0.95,1,0,0.001,8.9,Gridcell
9,121,197,86597,-81.75,29.75,100,potato,8,113,1950,680,400,0.9,St. Joh,350,20,0.07,65,0.75,1200,110,no,0,0.95,1,0,0.001,8.89,Gridcell
10,119,191,85151,-84.75,30.75,100,potato,26,107,1800,680,400,0.9,Decatu,350,23,0.07,65,0.75,1200,100,no,0,0.95,1,0,0.001,7.11,Gridcell
11,95,135,67815,-112.75,42.75,100,potato,138,259,2550,680,400,0.7,Bingha,350,11,0.1,75,0.5,1200,140,no,0,0.95,1,0,0.001,11.62,Gridcell
12,94,127,67087,-116.75,43.25,100,potato,120,234,3000,680,400,0.6,Canyon,350,17,0.1,75,0.5,1200,140,no,0,0.95,1,0,0.001,13.31,Gridcell
13,95,133,67813,-113.75,42.75,100,potato,134,256,2650,680,400,0.7,Minido,350,17,0.1,75,0.5,1200,140,no,0,0.95,1,0,0.001,12.86,Gridcell
14,86,225,61425,-67.75,47.25,100,potato,149,290,2000,680,400,0.9,Aroost,350,11,0.1,75,0.5,1200,155,no,0,0.95,1,0,0.001,9.25,Gridcell
15,94,190,67150,-85.25,43.25,100,potato,132,229,2200,680,400,0.9,Montca,350,11,0.1,75,0.5,1200,114,no,0,0.95,1,0,0.001,11.18,Gridcell
16,97,189,69309,-85.75,41.75,100,potato,118,218,2300,680,400,0.7,St. Jos,350,13,0.08,75,0.5,1800,114,no,0,0.95,1,0,0.001,10.41,Gridcell
17,91,175,64975,-92.75,44.75,100,potato,124,217,2200,680,400,0.5,Dakota,350,22,0.06,65,0.75,1800,107,no,0,0.95,1,0,0.001,6.85,Gridcell
18,93,174,66414,-93.25,43.75,100,potato,125,236,2450,680,400,0.6,Freebo,350,13,0.08,75,0.5,1800,127,no,0,0.95,1,0,0.001,10.09,Gridcell
19,88,170,62810,-95.25,46.25,100,potato,134,248,2300,680,400,0.9,Otter T,350,22,0.06,65,0.75,1800,127,no,0,0.95,1,0,0.001,12.11,Gridcell
20,91,171,64971,-94.75,44.75,100,potato,123,237,2500,680,400,0.6,Renvil,350,11,0.1,75,0.5,1200,127,no,0,0.95,1,0,0.001,11.55,Gridcell
21,94,204,67164,-78.25,43.25,100,potato,125,218,2200,680,400,0.7,Genese,350,13,0.08,75,0.5,1800,110,no,0,0.95,1,0,0.001,9.53,Gridcell
22,84,165,59925,-97.75,48.25,100,potato,130,242,2300,680,400,0.6,Walsh,350,22,0.06,65,0.75,1800,125,no,0,0.95,1,0,0.001,8.09,Gridcell
23,91,115,64915,-122.75,44.75,100,potato,127,218,2250,680,400,0.6,Marion,350,11,0.1,75,0.5,1200,130,no,0,0.95,1,0,0.001,10.09,Gridcell
24,89,122,63482,-119.25,45.75,100,potato,116,241,3050,680,400,0.7,Umatil,350,26,0.07,65,0.75,1200,153,no,0,0.95,1,0,0.001,16.93,Gridcell
25,128,164,91604,-98.25,26.25,100,potato,3,111,2550,680,400,0.6,Hidalg,350,11,0.1,75,0.5,1200,110,no,0,0.95,1,0,0.001,7.94,Gridcell
26,88,122,62762,-119.25,46.25,100,potato,117,237,3000,680,400,0.7,Benton,350,26,0.07,65,0.75,1200,148,no,0,0.95,1,0,0.001,17.55,Gridcell
27,86,122,61322,-119.25,47.25,100,potato,125,252,2700,680,400,0.9,Grant,350,11,0.1,75,0.5,1200,148,no,0,0.95,1,0,0.001,16.95,Gridcell
28,84,136,59896,-112.25,48.25,100,potato,136,233,2050,680,400,0.7,Skagit,350,10,0.08,75,0.5,1800,125,no,0,0.95,1,0,0.001,8.19,Gridcell
29,88,123,62763,-118.75,46.25,100,potato,115,233,3000,680,400,0.7,Walla W,350,11,0.1,75,0.5,1200,148,no,0,0.95,1,0,0.001,17.98,Gridcell
30,93,183,66423,-88.75,43.75,100,potato,127,230,2350,680,400,0.5,Fond du,350,13,0.08,75,0.5,1800,119,no,0,0.95,1,0,0.001,5.66,Gridcell
31,90,182,64262,-89.25,45.25,100,potato,137,261,2250,680,400,0.9,Langla,350,11,0.1,75,0.5,1200,139,no,0,0.95,1,0,0.001,11.32,Gridcell
32,92,181,65701,-89.75,44.25,100,potato,130,255,2450,680,400,0.8,Portag,350,26,0.07,65,0.75,1200,139,no,0,0.95,1,0,0.001,12.47,Gridcell
